,month,potential_inflation,industrial_prod,risk_free
0,2023-01-31,325.52,102.7476,4.69
1,2023-02-28,327.499,102.8003,4.93
2,2023-03-31,328.457,102.8143,4.68
3,2023-04-30,329.868,103.2241,4.68
4,2023-05-31,330.663,102.9809,4.91
5,2023-06-30,331.791,102.3809,5.24
6,2023-07-31,332.545,103.0722,5.37
7,2023-08-31,334.032,103.0951,5.37
8,2023-09-30,335.069,103.3081,5.44
9,2023-10-31,335.102,102.5781,5.42
10,2023-11-30,334.876,102.8868,5.28
11,2023-12-31,334.758,102.6309,4.96
12,2024-01-31,336.898,101.483,4.79
13,2024-02-29,338.763,102.7267,4.92
14,2024-03-31,340.743,102.5186,4.99
15,2024-04-30,341.904,102.3568,5.14
16,2024-05-31,342.545,102.9797,5.16
17,2024-06-30,342.869,103.2534,5.11
18,2024-07-31,343.324,102.534,4.9
19,2024-08-31,343.643,103.0831,4.43
20,2024-09-30,344.322,102.5283,4.03
21,2024-10-31,344.837,102.1123,4.2
22,2024-11-30,344.803,101.9621,4.33
