Date,F,GM,TM,TSLA,GSPC
2015-01-01,8.494989395141602,25.381149291992188,121.1288833618164,13.573332786560059,1994.989990234375
2015-02-01,9.532598495483398,29.03036117553711,127.2581558227539,13.555999755859375,2104.5
2015-03-01,9.415921211242676,29.178199768066406,131.50732421875,12.584667205810547,2067.889892578125
2015-04-01,9.217568397521973,27.503644943237305,132.5530242919922,15.069999694824219,2085.510009765625
2015-05-01,8.933467864990234,28.2175235748291,131.47560119628906,16.719999313354492,2107.389892578125
2015-06-01,8.839248657226562,26.14651107788086,127.52818298339844,17.884000778198242,2063.110107421875
2015-07-01,8.733248710632324,24.974767684936523,127.25167083740234,17.74333381652832,2103.840087890625
2015-08-01,8.251373291015625,23.334095001220703,112.87316131591797,16.604000091552734,1972.1800537109375
2015-09-01,8.072900772094727,23.79380226135254,111.82433319091797,16.559999465942383,1920.030029296875
2015-10-01,8.810585975646973,28.010042190551758,118.54440307617188,13.795332908630371,2079.360107421875
2015-11-01,8.611783981323242,29.045074462890625,120.2845687866211,15.350666999816895,2080.409912109375
2015-12-01,8.46755313873291,27.287921905517578,118.950439453125,16.000667572021484,2043.93994140625
2016-01-01,7.1754841804504395,24.032127380371094,116.04048919677734,12.74666690826416,1940.239990234375
2016-02-01,7.7715935707092285,23.869972229003906,100.63996124267578,12.795332908630371,1932.22998046875
2016-03-01,8.386609077453613,25.48346710205078,102.78617095947266,15.317999839782715,2059.739990234375
2016-04-01,8.423883438110352,26.106815338134766,100.1769027709961,16.05066680908203,2065.300048828125
2016-05-01,8.472830772399902,25.67991065979004,101.8613052368164,14.881999969482422,2096.949951171875
2016-06-01,7.894994258880615,23.233423233032227,98.49251556396484,14.152000427246094,2098.860107421875
2016-07-01,7.951523303985596,26.22300148010254,109.92864227294922,15.652667045593262,2173.60009765625
2016-08-01,8.000614166259766,26.538936614990234,118.82340240478516,14.133999824523926,2170.949951171875
2016-09-01,7.6640777587890625,26.414222717285156,114.32184600830078,13.60200023651123,2168.27001953125
2016-10-01,7.454537868499756,26.58742332458496,115.66000366210938,13.182000160217285,2126.14990234375
2016-11-01,7.6888427734375,29.052656173706055,118.52999877929688,12.626667022705078,2198.81005859375
2016-12-01,7.7981343269348145,29.313480377197266,117.19999694824219,14.246000289916992,2238.830078125
2017-01-01,7.945995807647705,31.136863708496094,115.75,16.795333862304688,2278.8701171875
2017-02-01,8.185103416442871,31.332469940185547,113.1500015258789,16.666000366210938,2363.639892578125
2017-03-01,7.603718280792236,30.073732376098633,108.62000274658203,18.553333282470703,2362.719970703125
2017-04-01,7.4926676750183105,29.762802124023438,108.13999938964844,20.937999725341797,2384.199951171875
2017-05-01,7.361932754516602,29.152769088745117,107.54000091552734,22.733999252319336,2411.800048828125
2017-06-01,7.408276081085205,30.0119686126709,105.0199966430664,24.107332229614258,2423.409912109375
2017-07-01,7.428135871887207,31.259140014648438,112.83999633789062,21.564666748046875,2470.300048828125
2017-08-01,7.396127223968506,31.745670318603516,112.9800033569336,23.726667404174805,2471.64990234375
2017-09-01,8.026443481445312,35.08182907104492,119.16999816894531,22.739999771118164,2519.360107421875
2017-10-01,8.227606773376465,37.72121047973633,124.0,22.101999282836914,2575.260009765625
